section	subgroup	case	title	rc	started_ms	finished_ms	duration_ms	log_path
TESTS	unit	static-entry-calls-core-init-sequence	static source check: entry references the early-init sequence	0	1775499127960	1775499127967	7	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/static-entry-calls-core-init-sequence.log
TESTS	unit	static-entry-references-console-loop	static source check: entry references the console loop path	0	1775499127977	1775499127984	7	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/static-entry-references-console-loop.log
TESTS	unit	static-core-init-references-console-write	static source check: core init references the console write call	0	1775499127995	1775499128002	7	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/static-core-init-references-console-write.log
BOOT TESTS	-	release-core-init-calls-memory-memset	release core init calls memory::memset in the memory sanity path	0	1775499127652	1775499128107	455	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/release-core-init-calls-memory-memset.log
TESTS	unit	host-vga-cell-unit-tests-pass	host VGA text cell unit tests pass	0	1775499127120	1775499128214	1094	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-vga-cell-unit-tests-pass.log
BOOT TESTS	-	runtime-confirms-memset	runtime emits MEMSET_OK	0	1775499127847	1775499128312	465	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memset.log
BOOT TESTS	-	compact-destroy-restores-previous-terminal	host-driven VNC E2E restores the previous compact terminal after destroying the active one	0	1775499122549	1775499128364	5815	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/compact-destroy-restores-previous-terminal.log
BOOT TESTS	-	runtime-confirms-memset-backend-sse2	runtime emits MEMSET_BACKEND_SSE2 when the default CPU supports SSE2	0	1775499128117	1775499128566	449	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memset-backend-sse2.log
BOOT TESTS	-	runtime-confirms-memset-scalar-fallback-when-no-cpuid	runtime falls back to MEMSET_BACKEND_SCALAR when CPUID is forced unavailable	0	1775499128321	1775499128779	458	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memset-scalar-fallback-when-no-cpuid.log
BOOT TESTS	-	runtime-confirms-memset-scalar-fallback-when-simd-disabled	runtime falls back to MEMSET_BACKEND_SCALAR when SIMD is forced off	0	1775499128374	1775499128827	453	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memset-scalar-fallback-when-simd-disabled.log
BOOT TESTS	-	runtime-confirms-memory-helpers	runtime emits MEMORY_HELPERS_OK	0	1775499128581	1775499129021	440	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memory-helpers.log
TESTS	unit	host-memcpy-unit-tests-pass	host memcpy baseline unit tests pass	0	1775499128014	1775499129034	1020	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memcpy-unit-tests-pass.log
TESTS	unit	host-memcpy-zero-length-behavior	host memcpy zero-length behavior is correct	0	1775499128250	1775499129137	887	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memcpy-zero-length-behavior.log
BOOT TESTS	-	runtime-memory-acceleration-happens-after-simd-runtime-ownership	runtime reaches SIMD ownership before selecting SSE2 memory backends	0	1775499128790	1775499129243	453	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-memory-acceleration-happens-after-simd-runtime-ownership.log
BOOT TESTS	-	test-grub-boots-iso	GRUB boots the generated test ISO artifact	2	1775499129254	1775499129260	6	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/test-grub-boots-iso.log
BOOT TESTS	-	test-grub-boots-img	GRUB boots the generated test IMG artifact	2	1775499129270	1775499129277	7	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/test-grub-boots-img.log
BOOT TESTS	-	release-boot-calls-kmain	release boot code calls kmain	0	1775499129289	1775499129300	11	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/release-boot-calls-kmain.log
BOOT TESTS	-	runtime-memory-backend-markers-are-ordered	runtime emits backend markers before helper success markers	0	1775499128839	1775499129338	499	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-memory-backend-markers-are-ordered.log
BOOT TESTS	-	release-kernel-exports-kmain	release kernel exports kmain	1	1775499129316	1775499129368	52	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/release-kernel-exports-kmain.log
BOOT TESTS	-	runtime-memory-markers-are-ordered	runtime emits MEMCPY_OK then MEMSET_OK then MEMORY_HELPERS_OK in order	0	1775499129031	1775499129594	563	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-memory-markers-are-ordered.log
BOOT TESTS	-	runtime-reaches-kmain	runtime reaches Rust kmain	0	1775499129363	1775499129888	525	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-reaches-kmain.log
BOOT TESTS	-	runtime-confirms-bss-zero	runtime confirms BSS starts at zero	0	1775499129388	1775499129906	518	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-bss-zero.log
TESTS	unit	host-memcpy-return-pointer-behavior	host memcpy returns the original destination pointer	0	1775499129044	1775499130048	1004	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memcpy-return-pointer-behavior.log
BOOT TESTS	-	runtime-confirms-layout	runtime confirms exported layout bounds	0	1775499129605	1775499130066	461	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-layout.log
TESTS	unit	host-memcpy-same-pointer	host memcpy preserves data when source and destination pointers are identical	0	1775499129149	1775499130204	1055	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memcpy-same-pointer.log
BOOT TESTS	-	runtime-completes-early-init	runtime completes early init before normal flow	0	1775499129901	1775499130436	535	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-completes-early-init.log
BOOT TESTS	-	runtime-markers-are-ordered	runtime markers appear in the expected order	0	1775499129918	1775499130455	537	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-markers-are-ordered.log
BOOT TESTS	-	phase4-runtime-acceleration-markers	runtime emits Phase 4 ownership markers and enables SSE2 acceleration on supported CPUs	0	1775499130085	1775499130644	559	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/phase4-runtime-acceleration-markers.log
BOOT TESTS	-	phase4-runtime-acceleration-order	runtime owns SIMD state and enables acceleration before helper self-check markers run	0	1775499130451	1775499130988	537	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/phase4-runtime-acceleration-order.log
BOOT TESTS	-	phase4-no-cpuid-stays-scalar	runtime falls back to scalar-only policy when CPUID is forced unavailable	0	1775499130475	1775499131045	570	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/phase4-no-cpuid-stays-scalar.log
TESTS	unit	host-memcpy-unaligned-pointers	host memcpy handles unaligned ordinary-memory pointers	0	1775499130060	1775499131176	1116	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memcpy-unaligned-pointers.log
BOOT TESTS	-	phase4-forced-disable-stays-scalar	runtime stays scalar-only and does not own state when SIMD policy is forced off	0	1775499130658	1775499131209	551	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/phase4-forced-disable-stays-scalar.log
TESTS	unit	host-memcpy-sentinel-bounds	host memcpy preserves bytes outside the requested range	0	1775499130220	1775499131367	1147	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memcpy-sentinel-bounds.log
BOOT TESTS	-	release-core-init-calls-string-strlen	release core init calls string::strlen in the string sanity path	0	1775499131010	1775499131528	518	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/release-core-init-calls-string-strlen.log
BOOT TESTS	-	runtime-confirms-strlen	runtime emits STRLEN_OK	0	1775499131058	1775499131640	582	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-strlen.log
BOOT TESTS	-	release-core-init-calls-string-strcmp	release core init calls string::strcmp in the string sanity path	0	1775499131223	1775499131794	571	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/release-core-init-calls-string-strcmp.log
BOOT TESTS	-	runtime-confirms-strcmp	runtime emits STRCMP_OK	0	1775499131542	1775499132074	532	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-strcmp.log
BOOT TESTS	-	runtime-confirms-string-helpers	runtime emits STRING_HELPERS_OK	0	1775499131654	1775499132153	499	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-string-helpers.log
TESTS	unit	host-memset-unit-tests-pass	host memset baseline unit tests pass	0	1775499131189	1775499132239	1050	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-memset-unit-tests-pass.log
